Date,Bank(Income),Cash(Income),Cash(costs),Cost Reference,Deposit,Marge BTW Income,,,,
1/2/2018,0,234,,,,,,,,
1/3/2018,0,187.600001,,,,,,,,
1/4/2018,0,59.75001,,,,,,,,
1/5/2018,0,236.75,,,,,,,,
1/6/2018,0,152.500147,,,,,,,,
1/8/2018,0,207.7,,,,,,,,
1/9/2018,0,182.9498,,,,,,,,
1/10/2018,0,234.780933,,,,,,,,
1/11/2018,0,57.800136,,,,,,,,
1/12/2018,0,354.6,,,,,,,,
1/13/2018,0,259.29,,,,,,,,
1/15/2018,0,153.90043,,,,,,,,
1/16/2018,0,363.39,,,,,,,,
1/17/2018,0,105.7,,,,,,,,
1/18/2018,0,91.900099,,,,,,,,
1/19/2018,0,223.6,,,,,,,,
1/20/2018,0,120.49,,,,,,,,
1/22/2018,0,108.68,,,,,,,,
1/23/2018,0,319.85,,,,,,,,
1/24/2018,0,92.89,,,,,,,,
1/25/2018,0,155.45,,,,,,,,
1/26/2018,0,222.75,,,,,,,,
1/27/2018,0,663.79,,,,,,,,
1/29/2018,0,255.6,,,,,,,,
1/30/2018,0,89.89,,,,,,,,
1/31/2018,0,52.9,,,,,,,,
2/1/2018,0,163.7,,,,,,,,
2/2/2018,109.0002,168.79,,,,,,,,
2/3/2018,0,109.400007,,,,,,,,
2/5/2018,0,258.69,,,,,,,,
2/6/2018,0,12.9,,,,,,,,
2/7/2018,0,263.5,,,,,,,,
2/8/2018,0,145.7,,,,,,,,
2/9/2018,0,706.97679,,,,,,,,
2/10/2018,0,212.25,,,,,,,,
2/12/2018,0,68.9,,,,,,,,
2/13/2018,0,143.9,,,,,,,,
2/14/2018,0,22.9,,,,,,,,
2/15/2018,0,88.75,,,,,,,,
2/16/2018,0,79.89,,,,,,,,
2/17/2018,0,370.55,,,,,,,,
2/19/2018,0,72.69,,,,,,,,
2/20/2018,0,149.04,,,,,,,,
2/21/2018,0,209.79086,,,,,,,,
2/22/2018,0,173.89,,,,,,,,
2/23/2018,0,227.79,,,,,,,,
2/24/2018,0,371.795,,,,,,,,
2/26/2018,0,407.7,,,,,,,,
2/27/2018,0,129,,,,,,,,
2/28/2018,0,317.79,,,,,,,,
3/1/2018,0,62.85,,,,,,,,
3/2/2018,0,54.8,,,,,,,,
3/3/2018,0,135.69,,,,,,,,
3/5/2018,0,312.38,,,,,,,,
3/6/2018,0,84.65,,,,,,,,
3/7/2018,0,150.69,,,,,,,,
3/8/2018,0,217.9,,,,,,,,
3/9/2018,0,77.79,,,,,,,,
3/10/2018,0,156.68,,,,,,,,
3/12/2018,0,109.8,,,,,,,,
3/13/2018,0,310.7,,,,,,,,
3/14/2018,0,332.53,,,,,,,,
3/15/2018,0,623.8,,,,,,,,
3/16/2018,0,148.9,,,,,,,,
3/17/2018,0,77.6,,,,,,,,
3/19/2018,0,70.79,,,,,,,,
3/20/2018,0,95.8,,,,,,,,
3/21/2018,0,433.19,,,,,,,,
3/22/2018,0,91.6,,,,,,,,
3/23/2018,0,152.15,,,,,,,,
3/24/2018,0,113.69,,,,,,,,
3/26/2018,0,54.99,,,,,,,,
3/27/2018,0,59.79,,,,,,,,
3/28/2018,0,146.14,,,,,,,,
3/29/2018,0,86.7,,,,,,,,
3/30/2018,0,125.90138,,,,,,,,
3/31/2018,0,442.29,,,,,,,,
